Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
24:00:00 - 24:15:00;1,12;0,61;0,72;0,73;0,77;0,87;0,63;0,59;0,72;0,41;0,23;0,39;0,47;0,63;0,89
24:15:00 - 24:30:00;0,64;0,35;0,47;0,54;0,61;0,67;0,46;0,26;0,39;0,26;0,42;0,45;0,28;0,56;0,20
24:30:00 - 24:45:00;0,60;0,29;0,53;0,48;0,59;0,53;0,38;0,21;0,38;0,23;0,12;0,48;0,28;0,41;0,21
24:45:00 - 25:00:00;0,55;0,30;0,75;0,60;0,87;0,72;0,45;0,16;0,41;0,10;0,14;0,35;0,21;0,39;0,33
25:00:00 - 25:15:00;0,24;0,11;0,19;0,18;0,25;0,24;0,14;0,09;0,15;0,08;0,00;0,14;0,06;0,14;0,17
25:15:00 - 25:30:00;0,45;0,18;0,25;0,39;0,23;0,41;0,30;0,08;0,14;0,20;0,00;0,00;0,14;0,25;0,28
25:30:00 - 25:45:00;0,69;0,27;0,45;0,41;0,58;0,49;0,34;0,18;0,38;0,11;0,00;0,15;0,18;0,43;0,33
25:45:00 - 26:00:00;0,50;0,18;0,24;0,21;0,31;0,28;0,18;0,15;0,25;0,12;0,00;0,15;0,18;0,27;0,16
26:00:00 - 26:15:00;0,57;0,19;0,25;0,18;0,29;0,22;0,15;0,22;0,25;0,10;0,00;0,20;0,15;0,21;0,26
26:15:00 - 26:30:00;0,21;0,06;0,19;0,11;0,25;0,15;0,08;0,04;0,12;0,00;0,00;0,05;0,00;0,24;0,00
26:30:00 - 26:45:00;0,32;0,13;0,26;0,33;0,34;0,38;0,22;0,05;0,12;0,17;0,00;0,05;0,10;0,24;0,14
26:45:00 - 27:00:00;0,28;0,11;0,20;0,27;0,26;0,30;0,20;0,02;0,09;0,15;0,00;0,16;0,05;0,34;0,00
