ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5563;10/04/2018 14:29;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5562;10/04/2018 12:37;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 149,80;R$ 0,00;R$ 47,38;R$ 197,18
5561;10/04/2018 11:54;ENTREGUE;MOIP CC 1x;Mobile;2;R$ 159,80;R$ 0,00;R$ 18,79;R$ 178,59
5560;10/04/2018 08:59;ENTREGUE;MOIP CC 5x;Desktop;2;R$ 149,80;R$ 0,00;R$ 55,84;R$ 205,64
5559;09/04/2018 21:10;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 69,90;R$ 0,00;R$ 16,92;R$ 86,82
5558;09/04/2018 19:00;ENTREGUE;MOIP Boleto;Desktop;6;R$ 369,40;R$ 0,00;R$ 0,00;R$ 369,40
5556;09/04/2018 14:56;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5555;09/04/2018 14:51;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 79,80;R$ 79,80;R$ 0,00;R$ 0,00
5554;09/04/2018 12:05;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5553;09/04/2018 08:50;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 109,80;R$ 0,00;R$ 30,08;R$ 139,88
5552;09/04/2018 01:12;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 79,90;R$ 0,00;R$ 30,08;R$ 109,98
5551;08/04/2018 23:23;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 137,80;R$ 0,00;R$ 38,23;R$ 176,03
5550;08/04/2018 21:53;ENTREGUE;MOIP Boleto;Desktop;2;R$ 139,80;R$ 0,00;R$ 38,23;R$ 178,03
5549;08/04/2018 20:34;ENTREGUE;MOIP CC 3x;Mobile;2;R$ 159,80;R$ 0,00;R$ 25,72;R$ 185,52
5548;08/04/2018 20:04;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5547;08/04/2018 13:09;ENTREGUE;MOIP CC 5x;Mobile;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
