Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;INT1;INTE2;INTE3;INTE4;;Total_Domicilio;;INT1;INTE2;INTE3;INTE4;;Total_Individuos;
13/05/2018  19:00:00 ;;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;;;Coração de Pescador;;Bargadas e Cacharas no rio Araguaia, em Goiás;;4;;22;;00:03:16;00:05:48;;;;00:09:04;;00:03:24;00:05:00;;;;00:08:24;
13/05/2018  19:30:00 ;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Aquarismo;;Conheça o espetacular oceanário de Lisboa;;4;;11;;00:03:04;00:08:46;;;;00:11:50;;00:02:58;00:07:38;;;;00:10:36;
13/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 2º parte;;1;;14;;00:02:48;00:04:53;00:02:27;00:06:09;;00:16:17;;00:02:31;00:05:10;00:02:37;00:02:01;;00:12:19;
13/05/2018  21:00:00 ;;21:00:00 - 21:15:00;21:15:00 - 21:30:00;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;Pesque e Pague;;Peixe dia e noite no Pesqueiro Cat Fish;;6;;8;;00:11:10;00:07:36;00:05:48;00:05:15;;00:29:49;;00:12:26;00:05:59;00:04:25;00:03:00;;00:25:50;
13/05/2018  22:00:00 ;;22:00:00 - 22:15:00;22:15:00 - 22:30:00;22:30:00 - 22:45:00;22:45:00 - 23:00:00;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;00:08:04;00:15:00;00:15:00;00:15:00;;00:53:04;;00:07:16;00:15:00;00:15:00;00:12:00;;00:49:16;
13/05/2018  23:00:00 ;;23:00:00 - 23:15:00;23:15:00 - 23:30:00;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;00:08:26;00:07:54;00:10:07;00:09:45;;00:36:12;;00:07:37;00:07:44;00:09:24;00:15:00;;00:39:45;
13/05/2018  23:30:00 ;;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;00:10:07;00:09:45;;;;00:19:52;;00:09:24;00:10:36;;;;00:20:00;
14/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;00:06:00;00:00:00;;;;00:06:00;;00:06:00;00:00:00;;;;00:06:00;
14/05/2018  00:30:00 ;;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;Aqua Negócios;;Carcinicultura marinha – sistema trifásico e intensivo;;3;;5;;00:00:00;00:01:00;;;;00:01:00;;00:00:00;00:01:00;;;;00:01:00;
14/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018  02:00:00 ;;26:00:00 - 26:15:00;26:15:00 - 26:30:00;26:30:00 - 26:45:00;26:45:00 - 27:00:00;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;00:00:00;00:00:00;00:02:00;00:15:00;;00:17:00;;00:00:00;00:00:00;00:02:00;00:15:00;;00:17:00;
14/05/2018  03:00:00 ;;27:00:00 - 27:15:00;27:15:00 - 27:30:00;;;;FishTV Teste;;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000;;4;;13;;00:15:00;00:15:00;;;;00:30:00;;00:15:00;00:15:00;;;;00:30:00;
14/05/2018  03:30:00 ;;27:30:00 - 27:45:00;27:45:00 - 28:00:00;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;00:14:00;00:00:00;00:00:00;00:00:00;;00:14:00;;00:14:00;00:00:00;00:00:00;00:00:00;;00:14:00;
14/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;;;;Biopesca;;Peixes variados em Juruena;;5;;8;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018  05:00:00 ;;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;00:01:00;00:03:13;;;;00:04:13;;00:01:00;00:02:57;;;;00:03:57;
14/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;;;;FishTV Teste;;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000;;4;;13;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018 06:30:00;;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;00:00:00;00:05:00;;;;00:05:00;;00:00:00;00:05:00;;;;00:05:00;
14/05/2018  07:00:00 ;;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
14/05/2018  07:30:00 ;;07:30:00 - 07:45:00;07:45:00 - 08:00:00;08:00:00 - 08:15:00;08:15:00 - 08:30:00;;Pesque e Pague;;Peixe dia e noite no Pesqueiro Cat Fish;;6;;8;;00:00:00;00:00:00;00:00:00;00:02:00;;00:02:00;;00:00:00;00:00:00;00:00:00;00:02:00;;00:02:00;
14/05/2018  08:30:00 ;;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;00:05:00;00:00:00;;;;00:05:00;;00:05:00;00:00:00;;;;00:05:00;
14/05/2018  09:00:00 ;;09:00:00 - 09:15:00;09:15:00 - 09:30:00;09:30:00 - 09:45:00;09:45:00 - 10:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;00:07:11;00:15:00;00:14:32;00:15:00;;00:51:43;;00:06:01;00:15:00;00:14:31;00:15:00;;00:50:32;
14/05/2018  10:00:00 ;;10:00:00 - 10:15:00;10:15:00 - 10:30:00;10:30:00 - 10:45:00;10:45:00 - 11:00:00;;Momento da Pesca;;Variada pescaria no rio Tarumã;;6;;26;;00:11:13;00:15:00;00:15:00;00:15:00;;00:56:13;;00:11:22;00:15:00;00:15:00;00:15:00;;00:56:22;
14/05/2018  11:00:00 ;;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;00:08:25;00:08:25;;;;00:16:50;;00:09:14;00:09:14;;;;00:18:28;
14/05/2018  11:30:00 ;;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;00:15:00;00:15:00;;;;00:30:00;;00:15:00;00:15:00;;;;00:30:00;
14/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;00:14:26;00:13:53;;;;00:28:19;;00:14:25;00:13:50;;;;00:28:15;
14/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;;;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;00:15:00;00:12:07;;;;00:27:07;;00:15:00;00:12:57;;;;00:27:57;
14/05/2018  13:00:00 ;;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;;;Coração de Pescador;;Bargadas e Cacharas no rio Araguaia, em Goiás;;4;;22;;00:15:00;00:03:06;;;;00:18:06;;00:15:00;00:03:08;;;;00:18:08;
