Horário Início;;Programa;;Episódio;;Temporada;;N. Episódio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Domicilio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Individuos;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Domicilio;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Individuos;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Domicilio;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Individuos;;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Domicilio;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Individuos;;Horário Termino
13/05/2018  00:00:00 ;;A Meta;;Redemoinho;;2;;3;;12,94;6,134;6,134;0;;25,208;;3,931;0;0;0;;3,931;;6,631;4,492;1,636;0;;12,759;;7,5;4,192;0;0;;11,692;;00:07:41;00:10:59;0:04:00;0:00:00;;0:22:40;;0:05:45;0:10:19;0:04:00;0:01:00;;0:21:04;;;12,94;6,134;6,134;0;;25,208;;3,931;0;0;0;;3,931;;19/02/2018  23:30:00 
13/05/2018  01:00:00 ;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;0;3,037;;;;3,037;;0;0;;;;0;;0;1,822;;;;1,822;;0;2,097;;;;2,097;;00:00:00;00:09:00;;;;0:09:00;;0:00:00;0:09:00;;;;0:09:00;;;0;3,037;;;;3,037;;0;0;;;;0;;20/02/2018  00:00:00 
13/05/2018  01:30:00 ;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0,00;0,00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;0;0;;;;0;;20/02/2018  01:00:00 
13/05/2018  02:00:00 ;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;0;0;0;0;;0;;0;0;6,037;0;;6,037;;0;0;0;0;;0;;0;0;6,037;0;;6,037;;0,00;0,00;0:00:00;0:00:00;;0:00:00;;0:00:00;0:00:00;0:00:00;0:00:00;;0:00:00;;;0;0;0;0;;0;;0;0;6,037;0;;6,037;;20/02/2018  01:30:00 
13/05/2018  03:00:00 ;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;0;0;4,374;4,374;;8,748;;6,037;6,037;6,037;4,056;;22,167;;0;0;2,625;2,041;;4,666;;0;0;6,037;4,056;;10,093;;0,00;0,00;0:09:00;0:07:00;;0:16:00;;0:00:00;0:00:00;0:09:00;0:00:00;;0:09:00;;;0;0;4,374;4,374;;8,748;;6,037;6,037;6,037;4,056;;22,167;;20/02/2018  02:00:00 
13/05/2018 04:00:00;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0,00;0,00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;0;0;;;;0;;20/02/2018  02:30:00 
13/05/2018  04:30:00 ;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;0;0;0;0;;0;;0;0;3,745;0;;3,745;;0;0;0;0;;0;;0;0;3,745;0;;3,745;;0,00;0,00;0:00:00;0:00:00;;0:00:00;;0:00:00;0:00:00;0:00:00;0:00:00;;0:00:00;;;0;0;0;0;;0;;0;0;3,745;0;;3,745;;20/02/2018  03:00:00 
13/05/2018  05:30:00 ;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;0;0;4,265;0;;0;;0;0;0;0;;0;;0;0;0,284;0;;0,284;;0;0;0;0;;0;;0,00;0,00;0:01:00;0:00:00;;0:01:00;;0:00:00;0:00:00;0:01:00;0:00:00;;0:01:00;;;0;0;4,265;0;;0;;0;0;0;0;;0;;20/02/2018  04:00:00 
13/05/2018  06:00:00 ;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;4,265;0;;;;0;;0;0;;;;0;;0,284;0;;;;0,284;;0,285;0;;;;0,285;;0,00;0,00;;;;0:01:00;;0:01:00;0:00:00;;;;0:01:00;;;4,265;0;;;;0;;0;0;;;;0;;20/02/2018  04:30:00 
13/05/2018  06:30:00 ;;Aqua Negócios;;Carcinicultura marinha – sistema trifásico e intensivo;;3;;5;;0;0;;;;0;;0;3,912;;;;3,912;;0;0;;;;0;;0;0;;;;0;;0,00;0,00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;0;3,912;;;;3,912;;20/02/2018  05:30:00 
13/05/2018  07:00:00 ;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;4,069;4,069;;;;8,138;;0;0;;;;0;;0,271;1,899;;;;2,17;;0,23;1,61;;;;1,84;;0,00;0,00;;;;0:08:00;;0:01:00;0:07:00;;;;0:08:00;;;4,069;4,069;;;;8,138;;0;0;;;;0;;20/02/2018  06:00:00 
13/05/2018  07:30:00 ;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0;0;;;;0;;0;0,00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;0;0;;;;0;;20/02/2018  06:30:00 
13/05/2018  08:00:00 ;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;11,41;4,374;4,374;12,51;;32,668;;0;3,912;3,912;14,3;;22,124;;4,211;4,374;4,374;6,609;;19,568;;3,857;4,056;3,912;14,3;;26,125;;0,00;0,01;0:15:00;0:07:56;;0:43:28;;0:05:21;0:15:00;0:15:00;0:00:00;;0:35:21;;;11,41;4,374;4,374;12,51;;32,668;;0;3,912;3,912;14,3;;22,124;;20/02/2018  07:00:00 
13/05/2018  09:00:00 ;;FishTV Teste;;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000;;4;;13;;4,374;4,374;;;;8,748;;9,345;3,912;;;;13,257;;4,374;4,374;;;;8,748;;4,056;4,056;;;;8,112;;0,01;0,01;;;;0:30:00;;0:15:00;0:15:00;;;;0:30:00;;;4,374;4,374;;;;8,748;;9,345;3,912;;;;13,257;;20/02/2018  07:30:00 
13/05/2018  09:30:00 ;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;8,751;8,751;11,99;4,374;;33,866;;7,55;7,55;7,55;4,056;;26,706;;7,001;8,751;2,982;0,292;;19,026;;8,673;11,75;7,55;4,056;;32,029;;0,01;0,01;0:03:44;0:01:00;;0:31:44;;0:11:04;0:15:00;0:03:03;0:00:00;;0:29:07;;;8,751;8,751;11,99;4,374;;33,866;;7,55;7,55;7,55;4,056;;26,706;;20/02/2018  08:00:00 
13/05/2018  10:30:00 ;;Biopesca;;Peixes variados em Juruena;;5;;8;;4,374;0;;;;4,374;;3,638;3,638;;;;7,276;;1,458;0;;;;1,458;;1,352;0;;;;1,352;;0,00;0,00;;;;0:05:00;;0:05:00;0:00:00;;;;0:05:00;;;4,374;0;;;;4,374;;3,638;3,638;;;;7,276;;20/02/2018  08:30:00 
13/05/2018  11:00:00 ;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;6,79;17,63;;;;24,42;;6,18;6,18;;;;12,36;;2,263;4,847;;;;7,11;;2,696;5,597;;;;8,293;;0,00;0,00;;;;0:09:07;;0:05:00;0:03:28;;;;0:08:28;;;6,79;17,63;;;;24,42;;6,18;6,18;;;;12,36;;20/02/2018  09:30:00 
13/05/2018  11:30:00 ;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;4,374;14,15;;;;18,524;;3,638;3,638;;;;7,276;;0,583;5,075;;;;5,658;;0,982;6,18;;;;7,162;;0,00;0,00;;;;0:07:23;;0:02:00;0:05:32;;;;0:07:32;;;4,374;14,15;;;;18,524;;3,638;3,638;;;;7,276;;20/02/2018  10:00:00 
13/05/2018  12:00:00 ;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;9,784;5,336;;;;15,12;;8,739;8,739;;;;17,478;;1,272;0,356;;;;1,628;;1,229;0,545;;;;1,774;;0,00;0,00;;;;0:02:57;;0:01:56;0:01:00;;;;0:02:56;;;9,784;5,336;;;;15,12;;8,739;8,739;;;;17,478;;20/02/2018  11:00:00 
13/05/2018  12:30:00 ;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;7,325;0;8,221;12,21;;27,756;;3,638;5,528;3,638;12,23;;25,034;;0,948;0;1,353;6,95;;9,251;;1,868;0;3,638;12,23;;17,736;;0,00;0,00;0:02:28;0:08:32;;0:12:57;;0:02:04;0:00:00;0:02:30;0:04:00;;0:08:34;;;7,325;0;8,221;12,21;;27,756;;3,638;5,528;3,638;12,23;;25,034;;20/02/2018  11:30:00 
13/05/2018  13:30:00 ;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;15,97;12,61;;;;28,58;;3,382;0;;;;3,382;;11,08;9,689;;;;20,769;;10,71;9,396;;;;20,106;;0,01;0,01;;;;0:21:56;;0:10:22;0:11:41;;;;0:22:03;;;15,97;12,61;;;;28,58;;3,382;0;;;;3,382;;20/02/2018  12:00:00 
13/05/2018  14:00:00 ;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;8,221;8,221;7,393;8,26;;32,095;;0;8,718;0;7,54;;16,258;;5,596;8,221;4,319;1,833;;19,969;;5,752;8,186;0;7,54;;21,478;;0,01;0,01;0:08:46;0:03:20;;0:37:19;;0:10:32;0:15:00;0:09:24;0:01:36;;0:36:32;;;8,221;8,221;7,393;8,26;;32,095;;0;8,718;0;7,54;;16,258;;20/02/2018  12:30:00 
