ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
3973;20/02/2017 13:56;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 16,78;R$ 96,68
3972;20/02/2017 08:41;ENTREGUE;MOIP Boleto;Desktop;3;R$ 209,70;R$ 0,00;R$ 22,28;R$ 231,98
3970;19/02/2017 22:06;ENTREGUE;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 15,11;R$ 55,01
3969;19/02/2017 21:20;ENTREGUE;MOIP CC 6x;Desktop;4;R$ 379,60;R$ 0,00;R$ 27,96;R$ 407,56
3968;19/02/2017 20:27;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 139,70;R$ 0,00;R$ 22,28;R$ 161,98
3967;19/02/2017 10:47;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 71,91;R$ 0,00;R$ 17,19;R$ 89,10
3966;19/02/2017 10:05;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 99,80;R$ 0,00;R$ 27,96;R$ 127,76
3965;19/02/2017 09:03;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 16,78;R$ 86,68
3961;18/02/2017 16:40;ENTREGUE;MOIP Boleto;Desktop;1;R$ 49,90;R$ 0,00;R$ 31,22;R$ 81,12
3959;17/02/2017 13:43;ENTREGUE;MOIP CC 5x;Mobile;2;R$ 161,81;R$ 0,00;R$ 17,19;R$ 179,00
3958;17/02/2017 12:42;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 27,96;R$ 97,86
3957;17/02/2017 11:24;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 79,80;R$ 0,00;R$ 16,78;R$ 96,58
3955;16/02/2017 17:28;ENTREGUE;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 22,28;R$ 62,18
3954;16/02/2017 17:08;ENTREGUE;MOIP Boleto;Desktop;2;R$ 177,80;R$ 0,00;R$ 27,59;R$ 205,39
3953;16/02/2017 16:22;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 143,82;R$ 0,00;R$ 37,93;R$ 181,75
3952;16/02/2017 15:34;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 139,80;R$ 0,00;R$ 15,56;R$ 155,36
3951;16/02/2017 11:50;ENTREGUE;MOIP Boleto;Desktop;3;R$ 109,70;R$ 0,00;R$ 26,61;R$ 136,31
3949;15/02/2017 18:44;ENTREGUE;MOIP CC 2x;Mobile;3;R$ 247,71;R$ 0,00;R$ 16,78;R$ 264,49
3947;15/02/2017 15:07;ENTREGUE;MOIP Boleto;Desktop;2;R$ 69,80;R$ 0,00;R$ 17,19;R$ 86,99
3946;15/02/2017 12:38;ENTREGUE;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 16,78;R$ 56,68
3944;14/02/2017 21:33;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 49,90;R$ 0,00;R$ 16,78;R$ 66,68
3943;14/02/2017 17:14;ENTREGUE;MOIP Boleto;Desktop;1;R$ 49,90;R$ 0,00;R$ 17,19;R$ 67,09
3941;14/02/2017 15:56;ENTREGUE;MOIP Boleto;Desktop;2;R$ 101,81;R$ 0,00;R$ 27,96;R$ 129,77
3940;14/02/2017 13:37;ENTREGUE;MOIP Boleto;Desktop;3;R$ 147,70;R$ 0,00;R$ 31,67;R$ 179,37
3939;14/02/2017 10:16;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 89,80;R$ 0,00;R$ 16,78;R$ 106,58
3937;13/02/2017 22:31;ENTREGUE;MOIP CC 3x;Desktop;3;R$ 251,71;R$ 0,00;R$ 0,00;R$ 251,71
3936;13/02/2017 18:20;ENTREGUE;MOIP CC 6x;Mobile;3;R$ 159,70;R$ 0,00;R$ 22,28;R$ 181,98
